jarray1,Arrays,medium,us13A12,RANDOM::BASELINE,nDCG,0.98,High
jarray1,Arrays,medium,us13A12,RANDOM::BASELINE,QMeasure,0.97,High
jarray1,Arrays,medium,us13A12,RANDOM::BASELINE,RMSE,0.4,High
jba_ques,Classes,medium,us13A12,RANDOM::BASELINE,AP,1,High
jba_ques,Classes,medium,us13A12,RANDOM::BASELINE,nDCG,1,High
jba_ques,Classes,medium,us13A12,RANDOM::BASELINE,QMeasure,1,High
jba_ques,Classes,medium,us13A12,RANDOM::BASELINE,RMSE,0.25,High
jbankaccount,Classes,medium,us13A12,RANDOM::BASELINE,AP,0.82,High
jbankaccount,Classes,medium,us13A12,RANDOM::BASELINE,nDCG,0.9,High
jbankaccount,Classes,medium,us13A12,RANDOM::BASELINE,QMeasure,0.87,High
jbankaccount,Classes,medium,us13A12,RANDOM::BASELINE,RMSE,0.48,High
jarray4,Arrays,medium,us13A12,RANDOM::BASELINE,AP,0.42,High
jarray4,Arrays,medium,us13A12,RANDOM::BASELINE,nDCG,0.57,High
jarray4,Arrays,medium,us13A12,RANDOM::BASELINE,QMeasure,0.53,High
jarray4,Arrays,medium,us13A12,RANDOM::BASELINE,RMSE,0.56,High
jwhile3,Loops_while,medium,us13A12,RANDOM::BASELINE,AP,0.33,High
jwhile3,Loops_while,medium,us13A12,RANDOM::BASELINE,nDCG,0.63,High
jwhile3,Loops_while,medium,us13A12,RANDOM::BASELINE,QMeasure,0.5,High
jwhile3,Loops_while,medium,us13A12,RANDOM::BASELINE,RMSE,0.66,High
j2d_arrays1,Two-dimensional_Arrays,medium,us13A12,RANDOM::BASELINE,AP,0.7,High
j2d_arrays1,Two-dimensional_Arrays,medium,us13A12,RANDOM::BASELINE,nDCG,0.72,High
j2d_arrays1,Two-dimensional_Arrays,medium,us13A12,RANDOM::BASELINE,QMeasure,0.79,High
j2d_arrays1,Two-dimensional_Arrays,medium,us13A12,RANDOM::BASELINE,RMSE,0.65,High
jwhile4,Loops_while,medium,us13A12,RANDOM::BASELINE,AP,0.68,High
jwhile4,Loops_while,medium,us13A12,RANDOM::BASELINE,nDCG,0.82,High
jwhile4,Loops_while,medium,us13A12,RANDOM::BASELINE,QMeasure,0.7,High
jwhile4,Loops_while,medium,us13A12,RANDOM::BASELINE,RMSE,0.4,High
jfor2,Loops_for,easy,us13A12,RANDOM::BASELINE,AP,0.2,High
jfor2,Loops_for,easy,us13A12,RANDOM::BASELINE,nDCG,0.43,High
