P::LOCAL::COS::GOAL,1,1.0,4.28,use_array_v2:1.0:4.28
NAIVE::LOCAL,1,0.0,2.06,array_declaration_v2:0.0:2.06
LOCAL::AS,1,0.0,2.06,array_declaration_v2:0.0:2.06
P::LOCAL::AS,1,0.0,2.06,array_declaration_v2:0.0:2.06
NAIVE::LOCAL,1,0.5,26.36,CompoundAssignment:0.5:26.36
GLOBAL::AS,1,0.5,26.36,CompoundAssignment:0.5:26.36
P::GLOBAL::AS,1,0.5,26.36,CompoundAssignment:0.5:26.36
P::LOCAL::COS,1,0.5,26.36,CompoundAssignment:0.5:26.36
P::GLOBAL::AS::GOAL,1,0.5,26.36,CompoundAssignment:0.5:26.36
P::LOCAL::AS::GOAL,1,0.5,26.36,CompoundAssignment:0.5:26.36
P::LOCAL::COS::GOAL,1,0.5,26.36,CompoundAssignment:0.5:26.36
GLOBAL::AS,1,0.25,1.38,increment_v2:0.25:1.38
P::GLOBAL::AS::GOAL,1,0.25,1.38,increment_v2:0.25:1.38
NAIVE::LOCAL,2,0.0,1.93,CashRegisterConstantField:0.0:1.93
NAIVE::LOCAL,2,0.0,2.82,BankAccountTester:0.0:2.82
GLOBAL::AS,2,0.0,1.93,CashRegisterConstantField:0.0:1.93
GLOBAL::AS,2,0.0,2.82,BankAccountTester:0.0:2.82
GLOBAL::COS,2,0.0,1.93,CashRegisterConstantField:0.0:1.93
GLOBAL::COS,2,0.0,2.82,BankAccountTester:0.0:2.82
LOCAL::AS,2,0.0,1.93,CashRegisterConstantField:0.0:1.93
LOCAL::AS,2,0.0,2.82,BankAccountTester:0.0:2.82
LOCAL::COS,2,0.0,1.93,CashRegisterConstantField:0.0:1.93
LOCAL::COS,2,0.0,2.82,BankAccountTester:0.0:2.82
P::GLOBAL::AS,2,0.0,1.93,CashRegisterConstantField:0.0:1.93
P::GLOBAL::AS,2,0.0,2.82,BankAccountTester:0.0:2.82
P::GLOBAL::COS,2,0.0,1.93,CashRegisterConstantField:0.0:1.93
P::GLOBAL::COS,2,0.0,2.82,BankAccountTester:0.0:2.82
P::LOCAL::AS,2,0.0,1.93,CashRegisterConstantField:0.0:1.93
P::LOCAL::AS,2,0.0,2.82,BankAccountTester:0.0:2.82
P::LOCAL::COS,2,0.0,1.93,CashRegisterConstantField:0.0:1.93
P::LOCAL::COS,2,0.0,2.82,BankAccountTester:0.0:2.82
P::GLOBAL::AS::GOAL,2,0.0,1.93,CashRegisterConstantField:0.0:1.93
P::GLOBAL::AS::GOAL,2,0.0,2.82,BankAccountTester:0.0:2.82
P::GLOBAL::COS::GOAL,1,0.0,1.93,CashRegisterConstantField:0.0:1.93
P::LOCAL::AS::GOAL,1,0.0,1.93,CashRegisterConstantField:0.0:1.93
P::LOCAL::COS::GOAL,2,0.0,1.93,CashRegisterConstantField:0.0:1.93
P::LOCAL::COS::GOAL,2,0.0,0.62,thisReference:0.0:0.62
P::GLOBAL::AS,1,1.0,16.98,ArrayListTester:1.0:16.98
P::GLOBAL::COS,1,1.0,16.98,ArrayListTester:1.0:16.98
P::GLOBAL::AS::GOAL,1,1.0,16.98,ArrayListTester:1.0:16.98
P::LOCAL::COS::GOAL,1,1.0,16.98,ArrayListTester:1.0:16.98
GLOBAL::AS,1,0.0,6.69,using_array_v2:0.0:6.69
NAIVE::LOCAL,1,0.25,16.44,OverridingObjectMethods:0.25:16.44
GLOBAL::AS,1,0.25,16.44,OverridingObjectMethods:0.25:16.44
GLOBAL::COS,1,0.25,16.44,OverridingObjectMethods:0.25:16.44
P::GLOBAL::AS,1,0.25,16.44,OverridingObjectMethods:0.25:16.44
