title,concept,tfidf
Constants_v2,ConstantInitializationStatement,2.98738071228713
Constants_v2,DoubleDataType,0.531478917042255
Constants_v2,FormalMethodParameter,0.0141630315535154
Constants_v2,IntDataType,0.138302698166281
Constants_v2,java.lang.System.out.println,0.817037492623067
Constants_v2,MethodDefinition,0.0117702183516952
Constants_v2,PublicClassSpecifier,0.0363131594988939
Constants_v2,PublicMethodSpecifier,0.0117702183516952
Constants_v2,SimpleAssignmentExpression,0.0428432078327987
Constants_v2,StaticMethodSpecifier,0.0214216039163993
Constants_v2,VoidDataType,0.0141630315535154
constant_v2,ActualMethodParameter,0.322503792414117
constant_v2,ClassDefinition,0.00702378317395306
constant_v2,Constant,2.73750323908911
constant_v2,ConstantInvocation,2.63519819416183
constant_v2,FormalMethodParameter,0.0141630315535154
constant_v2,java.lang.System.out.println,0.817037492623067
constant_v2,MethodDefinition,0.0117702183516952
constant_v2,PublicClassSpecifier,0.0363131594988939
constant_v2,PublicMethodSpecifier,0.0117702183516952
constant_v2,StaticMethodSpecifier,0.0214216039163993
constant_v2,StringAddition,1.48072537898849
constant_v2,StringDataType,0.705527028246532
constant_v2,StringLiteral,0.716055507971134
constant_v2,VoidDataType,0.0141630315535154
CreateObjectDemo_v2,ActualMethodParameter,1.45126706586353
CreateObjectDemo_v2,ClassDefinition,0.00702378317395306
CreateObjectDemo_v2,ConstructorCall,1.71861480660144
CreateObjectDemo_v2,FormalMethodParameter,0.0141630315535154
CreateObjectDemo_v2,java.lang.System.out.println,2.04259373155767
CreateObjectDemo_v2,MethodDefinition,0.0117702183516952
CreateObjectDemo_v2,ObjectCreationStatement,1.71861480660144
CreateObjectDemo_v2,ObjectMethodInvocation,3.28539442102901
CreateObjectDemo_v2,PublicClassSpecifier,0.0363131594988939
CreateObjectDemo_v2,PublicMethodSpecifier,0.0117702183516952
CreateObjectDemo_v2,SimpleAssignmentExpression,0.064264811749198
CreateObjectDemo_v2,StaticMethodSpecifier,0.0214216039163993
CreateObjectDemo_v2,StringAddition,3.70181344747122
CreateObjectDemo_v2,StringDataType,1.76381757061633
CreateObjectDemo_v2,StringLiteral,1.79013876992784
CreateObjectDemo_v2,VoidDataType,0.0141630315535154
CreateString_v2,ActualMethodParameter,0.161251896207058
CreateString_v2,ClassDefinition,0.00702378317395306
CreateString_v2,FormalMethodParameter,0.0141630315535154
CreateString_v2,MethodDefinition,0.0117702183516952
CreateString_v2,PublicClassSpecifier,0.0363131594988939
CreateString_v2,PublicMethodSpecifier,0.0117702183516952
CreateString_v2,SimpleAssignmentExpression,0.0428432078327987
CreateString_v2,SimpleVariable,0.599743748572912
CreateString_v2,StaticMethodSpecifier,0.0214216039163993
CreateString_v2,StringConstructorCall,1.79472035181451
CreateString_v2,StringCreationStatement,1.79472035181451
CreateString_v2,StringDataType,1.0582905423698
CreateString_v2,StringInitializationStatement,1.01656910139603
CreateString_v2,StringLiteral,0.716055507971134
CreateString_v2,StringVariable,2.3414397379952
CreateString_v2,VoidDataType,0.0141630315535154
create_2d_array_v2,ArrayCreationStatement,1.31759909708092
create_2d_array_v2,ArrayElement,2.25142714170723
create_2d_array_v2,ArrayVariable,1.01656910139603
create_2d_array_v2,ClassDefinition,0.00702378317395306
create_2d_array_v2,FormalMethodParameter,0.0141630315535154
create_2d_array_v2,IntDataType,0.414908094498844
create_2d_array_v2,MethodDefinition,0.0117702183516952
create_2d_array_v2,MultiDimensionalArrayDataType,1.49369035614357
create_2d_array_v2,PublicClassSpecifier,0.0363131594988939
create_2d_array_v2,PublicMethodSpecifier,0.0117702183516952
